r,angle,x,y
10,0,239,329
10,1,239,328
10,2,239,328
10,3,239,328
10,4,239,328
10,5,239,328
10,6,240,328
10,7,240,328
10,8,240,328
10,9,240,328
10,10,240,328
10,11,240,328
10,12,241,328
10,13,241,328
10,14,241,328
10,15,241,328
10,16,241,328
10,17,241,328
10,18,242,328
10,19,242,328
10,20,242,328
10,21,242,328
10,22,242,328
10,23,242,328
10,24,243,328
10,25,243,328
10,26,243,327
10,27,243,327
10,28,243,327
10,29,243,327
10,30,244,327
10,31,244,327
10,32,244,327
10,33,244,327
10,34,244,327
10,35,244,327
10,36,244,327
10,37,245,326
10,38,245,326
10,39,245,326
10,40,245,326
10,41,245,326
10,42,245,326
10,43,245,326
10,44,245,326
10,45,246,326
10,46,246,325
10,47,246,325
10,48,246,325
10,49,246,325
10,50,246,325
10,51,246,325
10,52,246,325
10,53,246,325
10,54,247,324
10,55,247,324
10,56,247,324
10,57,247,324
10,58,247,324
10,59,247,324
10,60,247,323
10,61,247,323
10,62,247,323
10,63,247,323
10,64,247,323
10,65,248,323
10,66,248,323
10,67,248,322
10,68,248,322
10,69,248,322
10,70,248,322
10,71,248,322
10,72,248,322
10,73,248,321
10,74,248,321
10,75,248,321
10,76,248,321
10,77,248,321
10,78,248,321
10,79,248,320
10,80,248,320
10,81,248,320
10,82,248,320
10,83,248,320
10,84,248,320
10,85,248,319
10,86,248,319
10,87,248,319
10,88,248,319
10,89,248,319
10,90,248,318
10,91,248,318
10,92,248,318
10,93,248,318
10,94,248,318
10,95,248,318
10,96,248,317
10,97,248,317
10,98,248,317
10,99,248,317
10,100,248,317
10,101,248,317
10,102,248,316
10,103,248,316
10,104,248,316
10,105,248,316
10,106,248,316
10,107,248,316
10,108,248,315
10,109,248,315
10,110,248,315
10,111,248,315
10,112,248,315
10,113,248,315
10,114,248,314
10,115,248,314
10,116,247,314
10,117,247,314
10,118,247,314
10,119,247,314
10,120,247,313
10,121,247,313
10,122,247,313
10,123,247,313
10,124,247,313
10,125,247,313
10,126,247,313
10,127,246,312
10,128,246,312
10,129,246,312
10,130,246,312
10,131,246,312
10,132,246,312
10,133,246,312
10,134,246,312
10,135,246,311
10,136,245,311
10,137,245,311
10,138,245,311
10,139,245,311
10,140,245,311
10,141,245,311
10,142,245,311
10,143,244,310
10,144,244,310
10,145,244,310
10,146,244,310
10,147,244,310
10,148,244,310
10,149,244,310
10,150,243,310
10,151,243,310
10,152,243,310
10,153,243,310
10,154,243,309
10,155,243,309
10,156,243,309
10,157,242,309
10,158,242,309
10,159,242,309
10,160,242,309
10,161,242,309
10,162,242,309
10,163,241,309
10,164,241,309
10,165,241,309
10,166,241,309
10,167,241,309
10,168,241,309
10,169,240,309
10,170,240,309
10,171,240,309
10,172,240,309
10,173,240,309
10,174,240,309
10,175,239,309
10,176,239,309
10,177,239,309
10,178,239,309
10,179,239,309
10,180,238,309
10,181,238,309
10,182,238,309
10,183,238,309
10,184,238,309
10,185,238,309
10,186,237,309
10,187,237,309
10,188,237,309
10,189,237,309
10,190,237,309
10,191,237,309
10,192,236,309
10,193,236,309
10,194,236,309
10,195,236,309
10,196,236,309
10,197,236,309
10,198,235,309
10,199,235,309
10,200,235,309
10,201,235,309
10,202,235,309
10,203,235,309
10,204,234,309
10,205,234,309
10,206,234,310
10,207,234,310
10,208,234,310
10,209,234,310
10,210,233,310
10,211,233,310
10,212,233,310
10,213,233,310
10,214,233,310
10,215,233,310
10,216,233,310
10,217,232,311
10,218,232,311
10,219,232,311
10,220,232,311
10,221,232,311
10,222,232,311
10,223,232,311
10,224,232,311
10,225,231,311
10,226,231,312
10,227,231,312
10,228,231,312
10,229,231,312
10,230,231,312
10,231,231,312
10,232,231,312
10,233,230,313
10,234,230,313
10,235,230,313
10,236,230,313
10,237,230,313
10,238,230,313
10,239,230,313
10,240,230,314
10,241,230,314
10,242,230,314
10,243,230,314
10,244,229,314
10,245,229,314
10,246,229,314
10,247,229,315
10,248,229,315
10,249,229,315
10,250,229,315
10,251,229,315
10,252,229,315
10,253,229,316
10,254,229,316
10,255,229,316
10,256,229,316
10,257,229,316
10,258,229,316
10,259,229,317
10,260,229,317
10,261,229,317
10,262,229,317
10,263,229,317
10,264,229,318
10,265,229,318
10,266,229,318
10,267,229,318
10,268,229,318
10,269,229,318
10,270,229,319
10,271,229,319
10,272,229,319
10,273,229,319
10,274,229,319
10,275,229,319
10,276,229,320
10,277,229,320
10,278,229,320
10,279,229,320
10,280,229,320
10,281,229,320
10,282,229,321
10,283,229,321
10,284,229,321
10,285,229,321
10,286,229,321
10,287,229,321
10,288,229,322
10,289,229,322
10,290,229,322
10,291,229,322
10,292,229,322
10,293,229,322
10,294,229,323
10,295,229,323
10,296,230,323
10,297,230,323
10,298,230,323
10,299,230,323
10,300,230,324
10,301,230,324
10,302,230,324
10,303,230,324
10,304,230,324
10,305,230,324
10,306,230,324
10,307,231,325
10,308,231,325
10,309,231,325
10,310,231,325
10,311,231,325
10,312,231,325
10,313,231,325
10,314,231,326
10,315,231,326
10,316,232,326
10,317,232,326
10,318,232,326
10,319,232,326
10,320,232,326
10,321,232,326
10,322,232,326
10,323,233,327
10,324,233,327
10,325,233,327
10,326,233,327
10,327,233,327
10,328,233,327
10,329,233,327
10,330,234,327
10,331,234,327
10,332,234,327
10,333,234,327
10,334,234,328
10,335,234,328
10,336,235,328
10,337,235,328
10,338,235,328
10,339,235,328
10,340,235,328
10,341,235,328
10,342,235,328
10,343,236,328
10,344,236,328
10,345,236,328
10,346,236,328
10,347,236,328
10,348,237,328
10,349,237,328
10,350,237,328
10,351,237,328
10,352,237,328
10,353,237,328
10,354,238,328
10,355,238,328
10,356,238,328
10,357,238,328
10,358,238,328
10,359,238,329
20,0,239,339
20,1,239,338
20,2,239,338
20,3,240,338
20,4,240,338
20,5,240,338
20,6,241,338
20,7,241,338
20,8,241,338
20,9,242,338
20,10,242,338
20,11,242,338
20,12,243,338
20,13,243,338
20,14,243,338
20,15,244,338
20,16,244,338
20,17,244,338
20,18,245,338
20,19,245,337
20,20,245,337
20,21,246,337
20,22,246,337
20,23,246,337
20,24,247,337
20,25,247,337
20,26,247,336
20,27,248,336
20,28,248,336
20,29,248,336
20,30,249,336
20,31,249,336
20,32,249,335
20,33,249,335
20,34,250,335
20,35,250,335
20,36,250,335
20,37,251,334
20,38,251,334
20,39,251,334
20,40,251,334
20,41,252,334
20,42,252,333
20,43,252,333
20,44,252,333
20,45,253,333
20,46,253,332
20,47,253,332
20,48,253,332
20,49,254,332
20,50,254,331
20,51,254,331
20,52,254,331
20,53,254,331
20,54,255,330
20,55,255,330
20,56,255,330
20,57,255,329
20,58,255,329
20,59,256,329
20,60,256,328
20,61,256,328
20,62,256,328
20,63,256,328
20,64,256,327
20,65,257,327
20,66,257,327
20,67,257,326
20,68,257,326
20,69,257,326
20,70,257,325
20,71,257,325
20,72,258,325
20,73,258,324
20,74,258,324
20,75,258,324
20,76,258,323
20,77,258,323
20,78,258,323
20,79,258,322
20,80,258,322
20,81,258,322
20,82,258,321
20,83,258,321
20,84,258,321
20,85,258,320
20,86,258,320
20,87,258,320
20,88,258,319
20,89,258,319
20,90,258,318
20,91,258,318
20,92,258,318
20,93,258,317
20,94,258,317
20,95,258,317
20,96,258,316
20,97,258,316
20,98,258,316
20,99,258,315
20,100,258,315
20,101,258,315
20,102,258,314
20,103,258,314
20,104,258,314
20,105,258,313
20,106,258,313
20,107,258,313
20,108,258,312
20,109,257,312
20,110,257,312
20,111,257,311
20,112,257,311
20,113,257,311
20,114,257,310
20,115,257,310
20,116,256,310
20,117,256,309
20,118,256,309
20,119,256,309
20,120,256,308
20,121,256,308
20,122,255,308
20,123,255,308
20,124,255,307
20,125,255,307
20,126,255,307
20,127,254,306
20,128,254,306
20,129,254,306
20,130,254,306
20,131,254,305
20,132,253,305
20,133,253,305
20,134,253,305
20,135,253,304
20,136,252,304
20,137,252,304
20,138,252,304
20,139,252,303
20,140,251,303
20,141,251,303
20,142,251,303
20,143,250,302
20,144,250,302
20,145,250,302
20,146,250,302
20,147,249,302
20,148,249,302
20,149,249,301
20,150,248,301
20,151,248,301
20,152,248,301
20,153,248,301
20,154,247,300
20,155,247,300
20,156,247,300
20,157,246,300
20,158,246,300
20,159,246,300
20,160,245,300
20,161,245,300
20,162,245,299
20,163,244,299
20,164,244,299
20,165,244,299
20,166,243,299
20,167,243,299
20,168,243,299
20,169,242,299
20,170,242,299
20,171,242,299
20,172,241,299
20,173,241,299
20,174,241,299
20,175,240,299
20,176,240,299
20,177,239,299
20,178,239,299
20,179,239,299
20,180,238,299
20,181,238,299
20,182,238,299
20,183,237,299
20,184,237,299
20,185,237,299
20,186,236,299
20,187,236,299
20,188,236,299
20,189,235,299
20,190,235,299
20,191,235,299
20,192,234,299
20,193,234,299
20,194,234,299
20,195,233,299
20,196,233,299
20,197,233,299
20,198,232,300
20,199,232,300
20,200,232,300
20,201,231,300
20,202,231,300
20,203,231,300
20,204,230,300
20,205,230,300
20,206,230,301
20,207,229,301
20,208,229,301
20,209,229,301
20,210,228,301
20,211,228,301
20,212,228,302
20,213,228,302
20,214,227,302
20,215,227,302
20,216,227,302
20,217,226,303
20,218,226,303
20,219,226,303
20,220,226,303
20,221,225,303
20,222,225,304
20,223,225,304
20,224,225,304
20,225,224,304
20,226,224,305
20,227,224,305
20,228,224,305
20,229,223,305
20,230,223,306
20,231,223,306
20,232,223,306
20,233,222,307
20,234,222,307
20,235,222,307
20,236,222,307
20,237,222,308
20,238,221,308
20,239,221,308
20,240,221,309
20,241,221,309
20,242,221,309
20,243,221,310
20,244,220,310
20,245,220,310
20,246,220,310
20,247,220,311
20,248,220,311
20,249,220,311
20,250,220,312
20,251,220,312
20,252,219,312
20,253,219,313
20,254,219,313
20,255,219,313
20,256,219,314
20,257,219,314
20,258,219,314
20,259,219,315
20,260,219,315
20,261,219,315
20,262,219,316
20,263,219,316
20,264,219,317
20,265,219,317
20,266,219,317
20,267,219,318
20,268,219,318
20,269,219,318
20,270,219,319
20,271,219,319
20,272,219,319
20,273,219,320
20,274,219,320
20,275,219,320
20,276,219,321
20,277,219,321
20,278,219,321
20,279,219,322
20,280,219,322
20,281,219,322
20,282,219,323
20,283,219,323
20,284,219,323
20,285,219,324
20,286,219,324
20,287,219,324
20,288,220,325
20,289,220,325
20,290,220,325
20,291,220,326
20,292,220,326
20,293,220,326
20,294,220,327
20,295,220,327
20,296,221,327
20,297,221,328
20,298,221,328
20,299,221,328
20,300,221,329
20,301,221,329
20,302,222,329
20,303,222,330
20,304,222,330
20,305,222,330
20,306,222,330
20,307,223,331
20,308,223,331
20,309,223,331
20,310,223,331
20,311,224,332
20,312,224,332
20,313,224,332
20,314,224,333
20,315,224,333
20,316,225,333
20,317,225,333
20,318,225,333
20,319,225,334
20,320,226,334
20,321,226,334
20,322,226,334
20,323,227,335
20,324,227,335
20,325,227,335
20,326,227,335
20,327,228,335
20,328,228,336
20,329,228,336
20,330,229,336
20,331,229,336
20,332,229,336
20,333,230,336
20,334,230,337
20,335,230,337
20,336,231,337
20,337,231,337
20,338,231,337
20,339,231,337
20,340,232,337
20,341,232,337
20,342,232,338
20,343,233,338
20,344,233,338
20,345,233,338
20,346,234,338
20,347,234,338
20,348,235,338
20,349,235,338
20,350,235,338
20,351,236,338
20,352,236,338
20,353,236,338
20,354,237,338
20,355,237,338
20,356,237,338
20,357,238,338
20,358,238,338
20,359,238,339
50,0,239,369
50,1,239,368
50,2,240,368
50,3,241,368
50,4,242,368
50,5,243,368
50,6,244,368
50,7,245,368
50,8,245,368
50,9,246,368
50,10,247,368
50,11,248,368
50,12,249,367
50,13,250,367
50,14,251,367
50,15,251,367
50,16,252,367
50,17,253,366
50,18,254,366
50,19,255,366
50,20,256,365
50,21,256,365
50,22,257,365
50,23,258,365
50,24,259,364
50,25,260,364
50,26,260,363
50,27,261,363
50,28,262,363
50,29,263,362
50,30,264,362
50,31,264,361
50,32,265,361
50,33,266,360
50,34,266,360
50,35,267,359
50,36,268,359
50,37,269,358
50,38,269,358
50,39,270,357
50,40,271,357
50,41,271,356
50,42,272,356
50,43,273,355
50,44,273,354
50,45,274,354
50,46,275,353
50,47,275,353
50,48,276,352
50,49,276,351
50,50,277,351
50,51,277,350
50,52,278,349
50,53,278,349
50,54,279,348
50,55,279,347
50,56,280,346
50,57,280,346
50,58,281,345
50,59,281,344
50,60,282,343
50,61,282,343
50,62,283,342
50,63,283,341
50,64,283,340
50,65,284,340
50,66,284,339
50,67,285,338
50,68,285,337
50,69,285,336
50,70,286,336
50,71,286,335
50,72,286,334
50,73,286,333
50,74,287,332
50,75,287,331
50,76,287,331
50,77,287,330
50,78,287,329
50,79,288,328
50,80,288,327
50,81,288,326
50,82,288,325
50,83,288,324
50,84,288,324
50,85,288,323
50,86,288,322
50,87,288,321
50,88,288,320
50,89,288,319
50,90,288,318
50,91,288,318
50,92,288,317
50,93,288,316
50,94,288,315
50,95,288,314
50,96,288,313
50,97,288,312
50,98,288,311
50,99,288,311
50,100,288,310
50,101,288,309
50,102,287,308
50,103,287,307
50,104,287,306
50,105,287,305
50,106,287,305
50,107,286,304
50,108,286,303
50,109,286,302
50,110,285,301
50,111,285,300
50,112,285,300
50,113,284,299
50,114,284,298
50,115,284,297
50,116,283,296
50,117,283,296
50,118,283,295
50,119,282,294
50,120,282,293
50,121,281,293
50,122,281,292
50,123,280,291
50,124,280,290
50,125,279,290
50,126,279,289
50,127,278,288
50,128,278,288
50,129,277,287
50,130,277,286
50,131,276,286
50,132,276,285
50,133,275,284
50,134,274,284
50,135,274,283
50,136,273,282
50,137,272,282
50,138,272,281
50,139,271,281
50,140,271,280
50,141,270,280
50,142,269,279
50,143,268,278
50,144,268,278
50,145,267,277
50,146,266,277
50,147,266,276
50,148,265,276
50,149,264,276
50,150,263,275
50,151,263,275
50,152,262,274
50,153,261,274
50,154,260,273
50,155,259,273
50,156,259,273
50,157,258,272
50,158,257,272
50,159,256,272
50,160,255,271
50,161,255,271
50,162,254,271
50,163,253,271
50,164,252,270
50,165,251,270
50,166,250,270
50,167,250,270
50,168,249,270
50,169,248,269
50,170,247,269
50,171,246,269
50,172,245,269
50,173,244,269
50,174,244,269
50,175,243,269
50,176,242,269
50,177,241,269
50,178,240,269
50,179,239,269
50,180,238,269
50,181,237,269
50,182,237,269
50,183,236,269
50,184,235,269
50,185,234,269
50,186,233,269
50,187,232,269
50,188,231,269
50,189,230,269
50,190,230,269
50,191,229,269
50,192,228,270
50,193,227,270
50,194,226,270
50,195,225,270
50,196,224,271
50,197,224,271
50,198,223,271
50,199,222,271
50,200,221,272
50,201,220,272
50,202,220,272
50,203,219,273
50,204,218,273
50,205,217,273
50,206,216,274
50,207,216,274
50,208,215,274
50,209,214,275
50,210,213,275
50,211,213,276
50,212,212,276
50,213,211,277
50,214,210,277
50,215,210,278
50,216,209,278
50,217,208,279
50,218,208,279
50,219,207,280
50,220,206,280
50,221,205,281
